Origin,Destination,Select migrant country,Select migrant country  (inverse),Migrants,Migrants_R,SQRT Migrants
Afghanistan,Argentina,Argentina,Afghanistan,9,0,3
Afghanistan,Australia,Australia,Afghanistan,60879,61000,246.7367018
Afghanistan,Austria,Austria,Afghanistan,47602,48000,218.1788257
Afghanistan,Azerbaijan,Azerbaijan,Afghanistan,176,0,13.26649916
Afghanistan,Bahrain,Bahrain,Afghanistan,860,1000,29.3257566
Afghanistan,Belarus,Belarus,Afghanistan,277,0,16.64331698
Afghanistan,Belgium,Belgium,Afghanistan,24670,25000,157.0668647
Afghanistan,Bolivia,Bolivia,Afghanistan,1,0,1
Afghanistan,Brazil,Brazil,Afghanistan,73,0,8.544003745
Afghanistan,Bulgaria,Bulgaria,Afghanistan,426,0,20.63976744
Afghanistan,Canada,Canada,Afghanistan,55954,56000,236.5459786
Afghanistan,Costa Rica,Costa Rica,Afghanistan,4,0,2
Afghanistan,Cyprus,Cyprus,Afghanistan,6,0,2.449489743
Afghanistan,Czech Republic,Czech Republic,Afghanistan,484,0,22
Afghanistan,Denmark,Denmark,Afghanistan,13715,14000,117.1110584
Afghanistan,Ecuador,Ecuador,Afghanistan,167,0,12.92284798
Afghanistan,Egypt,Egypt,Afghanistan,210,0,14.49137675
Afghanistan,Estonia,Estonia,Afghanistan,65,0,8.062257748
Afghanistan,Finland,Finland,Afghanistan,7019,7000,83.77947243
Afghanistan,France,France,Afghanistan,35348,35000,188.010638
Afghanistan,Georgia,Georgia,Afghanistan,40,0,6.32455532
Afghanistan,Germany,Germany,Afghanistan,250444,250000,500.443803
Afghanistan,Greece,Greece,Afghanistan,45293,45000,212.8215215
Afghanistan,Guinea,Guinea,Afghanistan,1,0,1
Afghanistan,Hungary,Hungary,Afghanistan,1816,2000,42.61455151
Afghanistan,Iceland,Iceland,Afghanistan,108,0,10.39230485
Afghanistan,India,India,Afghanistan,16094,16000,126.8621299
Afghanistan,Iran,Iran,Afghanistan,2710601,2711000,1646.390294
Afghanistan,Iraq,Iraq,Afghanistan,314,0,17.72004515
Afghanistan,Ireland,Ireland,Afghanistan,168,0,12.9614814
Afghanistan,Israel,Israel,Afghanistan,2464,2000,49.63869458
Afghanistan,Italy,Italy,Afghanistan,18689,19000,136.7077174
Afghanistan,Jordan,Jordan,Afghanistan,61,0,7.810249676
Afghanistan,Kuwait,Kuwait,Afghanistan,2896,3000,53.81449619
Afghanistan,Latvia,Latvia,Afghanistan,46,0,6.782329983
Afghanistan,Libya,Libya,Afghanistan,340,0,18.43908892
Afghanistan,Liechtenstein,Liechtenstein,Afghanistan,6,0,2.449489743
Afghanistan,Lithuania,Lithuania,Afghanistan,41,0,6.403124237
Afghanistan,Luxembourg,Luxembourg,Afghanistan,433,0,20.80865205
Afghanistan,Malaysia,Malaysia,Afghanistan,2478,2000,49.77951386
Afghanistan,Mali,Mali,Afghanistan,553,1000,23.51595203
Afghanistan,Namibia,Namibia,Afghanistan,44,0,6.633249581
Afghanistan,Netherlands,Netherlands,Afghanistan,36418,36000,190.8350073
Afghanistan,New Zealand,New Zealand,Afghanistan,3827,4000,61.86275131
Afghanistan,Nicaragua,Nicaragua,Afghanistan,62,0,7.874007874
Afghanistan,Norway,Norway,Afghanistan,17242,17000,131.3087964
Afghanistan,Pakistan,Pakistan,Afghanistan,1598223,1598000,1264.208448
Afghanistan,Philippines,Philippines,Afghanistan,1297,1000,36.01388621
Afghanistan,Poland,Poland,Afghanistan,184,0,13.56465997
Afghanistan,Qatar,Qatar,Afghanistan,1599,2000,39.98749805
Afghanistan,Romania,Romania,Afghanistan,44,0,6.633249581
Afghanistan,Russia,Russia,Afghanistan,5090,5000,71.34423593
Afghanistan,Saudi Arabia,Saudi Arabia,Afghanistan,481215,481000,693.6966196
Afghanistan,Slovakia,Slovakia,Afghanistan,194,0,13.92838828
Afghanistan,Slovenia,Slovenia,Afghanistan,36,0,6
Afghanistan,South Africa,South Africa,Afghanistan,111,0,10.53565375
Afghanistan,Spain,Spain,Afghanistan,615,1000,24.79919354
Afghanistan,Sri Lanka,Sri Lanka,Afghanistan,132,0,11.48912529
Afghanistan,Sweden,Sweden,Afghanistan,53306,53000,230.8809217
Afghanistan,Switzerland,Switzerland,Afghanistan,15036,15000,122.6213684
Afghanistan,Syria,Syria,Afghanistan,1143,1000,33.80828301
Afghanistan,Tajikistan,Tajikistan,Afghanistan,12433,12000,111.5033632
Afghanistan,Thailand,Thailand,Afghanistan,1,0,1
Afghanistan,Turkey,Turkey,Afghanistan,117595,118000,342.9212738
Afghanistan,Turkmenistan,Turkmenistan,Afghanistan,198,0,14.07124728
Afghanistan,Ukraine,Ukraine,Afghanistan,4891,5000,69.93568474
Afghanistan,United Arab Emirates,United Arab Emirates,Afghanistan,8191,8000,90.50414355
Afghanistan,United Kingdom,United Kingdom,Afghanistan,51376,51000,226.6627451
Afghanistan,United States,United States,Afghanistan,142504,143000,377.4970199
Albania,Argentina,Argentina,Albania,66,0,8.124038405
Albania,Australia,Australia,Albania,3941,4000,62.77738446
Albania,Austria,Austria,Albania,4398,4000,66.31741853
Albania,Belgium,Belgium,Albania,11937,12000,109.2565787
Albania,Bolivia,Bolivia,Albania,1,0,1
Albania,Bulgaria,Bulgaria,Albania,1351,1000,36.7559519
Albania,Canada,Canada,Albania,16544,17000,128.6234815
Albania,Costa Rica,Costa Rica,Albania,4,0,2
Albania,Croatia,Croatia,Albania,160,0,12.64911064
Albania,Cuba,Cuba,Albania,0,0,0
Albania,Cyprus,Cyprus,Albania,274,0,16.55294536
Albania,Czech Republic,Czech Republic,Albania,487,0,22.06807649
Albania,Denmark,Denmark,Albania,568,1000,23.83275058
Albania,Ecuador,Ecuador,Albania,73,0,8.544003745
Albania,Egypt,Egypt,Albania,119,0,10.90871212
Albania,Estonia,Estonia,Albania,41,0,6.403124237
Albania,Finland,Finland,Albania,706,1000,26.57066051
Albania,France,France,Albania,8925,9000,94.47221814
Albania,Georgia,Georgia,Albania,9,0,3
Albania,Germany,Germany,Albania,61063,61000,247.1092876
Albania,Greece,Greece,Albania,446614,447000,668.2918524
Albania,Guinea,Guinea,Albania,9,0,3
Albania,Hungary,Hungary,Albania,503,1000,22.42766149
Albania,Iceland,Iceland,Albania,220,0,14.83239697
