,Origin,Destination,Select migrant country,Select migrant country  (inverse),Migrants,Migrants_R,SQRT Migrants,Origin (latitude),Origin (longitude),Destination (latitude),Destination (longitude)
0,Afghanistan,Argentina,Argentina,Afghanistan,9.0,0.0,3.0,33.93911,67.709953,-38.416097,-63.616671999999994
1,Afghanistan,Australia,Australia,Afghanistan,60879.0,61000.0,246.73670180000002,33.93911,67.709953,-25.274398,133.775136
2,Afghanistan,Austria,Austria,Afghanistan,47602.0,48000.0,218.17882569999998,33.93911,67.709953,47.516231,14.550072
3,Afghanistan,Azerbaijan,Azerbaijan,Afghanistan,176.0,0.0,13.26649916,33.93911,67.709953,40.143105,47.576927000000005
4,Afghanistan,Bahrain,Bahrain,Afghanistan,860.0,1000.0,29.3257566,33.93911,67.709953,25.930414000000003,50.637772
5,Afghanistan,Belarus,Belarus,Afghanistan,277.0,0.0,16.64331698,33.93911,67.709953,53.709807,27.953389
6,Afghanistan,Belgium,Belgium,Afghanistan,24670.0,25000.0,157.0668647,33.93911,67.709953,50.503887,4.469936
7,Afghanistan,Bolivia,Bolivia,Afghanistan,1.0,0.0,1.0,33.93911,67.709953,-16.290154,-63.588653
8,Afghanistan,Brazil,Brazil,Afghanistan,73.0,0.0,8.544003745,33.93911,67.709953,-14.235004,-51.92528
9,Afghanistan,Bulgaria,Bulgaria,Afghanistan,426.0,0.0,20.63976744,33.93911,67.709953,42.733883,25.48583
10,Afghanistan,Canada,Canada,Afghanistan,55954.0,56000.0,236.54597859999998,33.93911,67.709953,56.130366,-106.34677099999999
11,Afghanistan,Costa Rica,Costa Rica,Afghanistan,4.0,0.0,2.0,33.93911,67.709953,9.748917,-83.753428
12,Afghanistan,Cyprus,Cyprus,Afghanistan,6.0,0.0,2.449489743,33.93911,67.709953,35.126413,33.429859
13,Afghanistan,Czech Republic,Czech Republic,Afghanistan,484.0,0.0,22.0,33.93911,67.709953,49.817492,15.472961999999999
14,Afghanistan,Denmark,Denmark,Afghanistan,13715.0,14000.0,117.1110584,33.93911,67.709953,56.26392,9.501785
15,Afghanistan,Ecuador,Ecuador,Afghanistan,167.0,0.0,12.92284798,33.93911,67.709953,-1.8312389999999998,-78.183406
16,Afghanistan,Egypt,Egypt,Afghanistan,210.0,0.0,14.49137675,33.93911,67.709953,26.820553000000004,30.802497999999996
17,Afghanistan,Estonia,Estonia,Afghanistan,65.0,0.0,8.062257748,33.93911,67.709953,58.595271999999994,25.013607
18,Afghanistan,Finland,Finland,Afghanistan,7019.0,7000.0,83.77947243,33.93911,67.709953,61.92411,25.748151
19,Afghanistan,France,France,Afghanistan,35348.0,35000.0,188.010638,33.93911,67.709953,46.227638,2.213749
20,Afghanistan,Georgia,Georgia,Afghanistan,40.0,0.0,6.32455532,33.93911,67.709953,42.315407,43.356891999999995
21,Afghanistan,Germany,Germany,Afghanistan,250444.0,250000.0,500.443803,33.93911,67.709953,51.165690999999995,10.451526
22,Afghanistan,Greece,Greece,Afghanistan,45293.0,45000.0,212.8215215,33.93911,67.709953,39.074208,21.824312
23,Afghanistan,Guinea,Guinea,Afghanistan,1.0,0.0,1.0,33.93911,67.709953,9.945587,-9.696645
24,Afghanistan,Hungary,Hungary,Afghanistan,1816.0,2000.0,42.61455151,33.93911,67.709953,47.162494,19.503304
25,Afghanistan,Iceland,Iceland,Afghanistan,108.0,0.0,10.39230485,33.93911,67.709953,64.96305100000001,-19.020835
26,Afghanistan,India,India,Afghanistan,16094.0,16000.0,126.86212990000001,33.93911,67.709953,20.593684,78.96288
27,Afghanistan,Iran,Iran,Afghanistan,2710601.0,2711000.0,1646.390294,33.93911,67.709953,32.427908,53.68804599999999
28,Afghanistan,Iraq,Iraq,Afghanistan,314.0,0.0,17.72004515,33.93911,67.709953,33.223191,43.679291
29,Afghanistan,Ireland,Ireland,Afghanistan,168.0,0.0,12.9614814,33.93911,67.709953,53.41291,-8.243889999999999
30,Afghanistan,Israel,Israel,Afghanistan,2464.0,2000.0,49.63869458,33.93911,67.709953,31.046051000000002,34.851612
31,Afghanistan,Italy,Italy,Afghanistan,18689.0,19000.0,136.7077174,33.93911,67.709953,41.87194,12.56738
32,Afghanistan,Jordan,Jordan,Afghanistan,61.0,0.0,7.810249676000001,33.93911,67.709953,30.585164000000002,36.238414
33,Afghanistan,Kuwait,Kuwait,Afghanistan,2896.0,3000.0,53.81449619,33.93911,67.709953,29.311659999999996,47.481766
34,Afghanistan,Latvia,Latvia,Afghanistan,46.0,0.0,6.7823299829999995,33.93911,67.709953,56.879635,24.603189
35,Afghanistan,Libya,Libya,Afghanistan,340.0,0.0,18.43908892,33.93911,67.709953,26.3351,17.228331
36,Afghanistan,Liechtenstein,Liechtenstein,Afghanistan,6.0,0.0,2.449489743,33.93911,67.709953,47.166000000000004,9.555373
37,Afghanistan,Lithuania,Lithuania,Afghanistan,41.0,0.0,6.403124237,33.93911,67.709953,55.169438,23.881275
38,Afghanistan,Luxembourg,Luxembourg,Afghanistan,433.0,0.0,20.80865205,33.93911,67.709953,49.815273,6.129583
39,Afghanistan,Malaysia,Malaysia,Afghanistan,2478.0,2000.0,49.77951386,33.93911,67.709953,4.210483999999999,101.97576600000001
40,Afghanistan,Mali,Mali,Afghanistan,553.0,1000.0,23.51595203,33.93911,67.709953,17.570692,-3.9961660000000006
41,Afghanistan,Namibia,Namibia,Afghanistan,44.0,0.0,6.633249581,33.93911,67.709953,-22.957639999999998,18.49041
42,Afghanistan,Netherlands,Netherlands,Afghanistan,36418.0,36000.0,190.8350073,33.93911,67.709953,52.132633,5.291266
43,Afghanistan,New Zealand,New Zealand,Afghanistan,3827.0,4000.0,61.86275131,33.93911,67.709953,-40.900557,174.88597099999998
44,Afghanistan,Nicaragua,Nicaragua,Afghanistan,62.0,0.0,7.874007874,33.93911,67.709953,12.865416,-85.207229
45,Afghanistan,Norway,Norway,Afghanistan,17242.0,17000.0,131.3087964,33.93911,67.709953,60.472024,8.468946
46,Afghanistan,Pakistan,Pakistan,Afghanistan,1598223.0,1598000.0,1264.208448,33.93911,67.709953,30.375321000000003,69.345116
47,Afghanistan,Philippines,Philippines,Afghanistan,1297.0,1000.0,36.01388621,33.93911,67.709953,12.879721,121.77401699999999
48,Afghanistan,Poland,Poland,Afghanistan,184.0,0.0,13.56465997,33.93911,67.709953,51.919438,19.145135999999997
49,Afghanistan,Qatar,Qatar,Afghanistan,1599.0,2000.0,39.98749805,33.93911,67.709953,25.354826,51.183884
50,Afghanistan,Romania,Romania,Afghanistan,44.0,0.0,6.633249581,33.93911,67.709953,45.943160999999996,24.96676
51,Afghanistan,Russia,Russia,Afghanistan,5090.0,5000.0,71.34423593,33.93911,67.709953,61.52401,105.31875600000001
52,Afghanistan,Saudi Arabia,Saudi Arabia,Afghanistan,481215.0,481000.0,693.6966196000001,33.93911,67.709953,23.885942,45.079162
53,Afghanistan,Slovakia,Slovakia,Afghanistan,194.0,0.0,13.92838828,33.93911,67.709953,48.669026,19.699023999999998
54,Afghanistan,Slovenia,Slovenia,Afghanistan,36.0,0.0,6.0,33.93911,67.709953,46.151241,14.995463
55,Afghanistan,South Africa,South Africa,Afghanistan,111.0,0.0,10.53565375,33.93911,67.709953,-30.559482,22.937506
56,Afghanistan,Spain,Spain,Afghanistan,615.0,1000.0,24.79919354,33.93911,67.709953,40.463667,-3.7492199999999998
57,Afghanistan,Sri Lanka,Sri Lanka,Afghanistan,132.0,0.0,11.48912529,33.93911,67.709953,7.873054,80.77179699999999
58,Afghanistan,Sweden,Sweden,Afghanistan,53306.0,53000.0,230.88092169999996,33.93911,67.709953,60.128161,18.643501
59,Afghanistan,Switzerland,Switzerland,Afghanistan,15036.0,15000.0,122.62136840000001,33.93911,67.709953,46.818188,8.227511999999999
60,Afghanistan,Syria,Syria,Afghanistan,1143.0,1000.0,33.80828301,33.93911,67.709953,34.802075,38.996815000000005
61,Afghanistan,Tajikistan,Tajikistan,Afghanistan,12433.0,12000.0,111.5033632,33.93911,67.709953,38.861034000000004,71.276093
62,Afghanistan,Thailand,Thailand,Afghanistan,1.0,0.0,1.0,33.93911,67.709953,15.870032,100.992541
